title,brand,price,link_item,link_img,resolution,size,rate,Lượt bán,index_,discount_index,original price,discount percent
Điện thoại OPPO Reno12 F 8GB/256GB,OPPO,6.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/328306/oppo-reno12-f-4g-green-thumb-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 21,2k",49,,,
Điện thoại realme C65s 6GB/128GB,realme,4.290.000₫,https://www.thegioididong.com/dtdd/realme-c65s,https://cdn.tgdd.vn/Products/Images/42/328605/realme-c65s-blue-thumb-1-600x600.jpg,HD+,"6.745 """,4.9,"Đã bán 15,8k",50,,,
Điện thoại vivo Y19s 6GB/128GB,vivo,4.290.000₫,https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/331200/vivo-y19s-bac-thumb-600x600.jpg,HD+,"6.68 """,4.9,"Đã bán 21,5k",51,,,
Điện thoại HONOR X8b 8GB/512GB,HONOR,6.190.000₫,https://www.thegioididong.com/dtdd/honor-x8b,https://cdn.tgdd.vn/Products/Images/42/324893/honor-x8b-green-thumb-1-600x600.jpg,Full HD+,"6.7""",4.9,"Đã bán 13,2k",52,,,
Điện thoại HONOR X6b 6GB/128GB Tím,HONOR,3.390.000₫,https://www.thegioididong.com/dtdd/honor-x6b-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/327258/honor-x6b-purple-thumb-600x600.jpg,HD+,"6.56""",4.9,"Đã bán 3,4k",53,53.0,16.990.000₫,-15%
Điện thoại Samsung Galaxy S24+ 5G 12GB/256GB,Samsung,19.490.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-plus-5g,https://cdn.tgdd.vn/Products/Images/42/307172/samsung-galaxy-s24-plus-black-thumbnew-1-600x600.jpg,Quad HD+ (2K+),"6.7""",4.9,"Đã bán 4,6k",54,,,
Điện thoại iPhone 13 128GB,iPhone (Apple),12.890.000₫,https://www.thegioididong.com/dtdd/iphone-13,https://cdn.tgdd.vn/Products/Images/42/223602/iphone-13-midnight-2-600x600.jpg,Super Retina XDR,"6.1""",4.9,Đã bán 169k,55,55.0,3.990.000₫,-14%
Điện thoại iPhone 12 64GB,iPhone (Apple),9.990.000₫,https://www.thegioididong.com/dtdd/iphone-12,https://cdn.tgdd.vn/Products/Images/42/213031/iphone-12-tim-1-600x600.jpg,Super Retina XDR,"6.1""",4.9,"Đã bán 8,8k",56,56.0,14.990.000₫,-16%
Điện thoại Xiaomi Redmi A3 3GB/64GB,Xiaomi,1.890.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3,https://cdn.tgdd.vn/Products/Images/42/320734/xiaomi-redmi-a3-xanh-l%C3%A1-thumb-600x600.jpg,HD+,"6.71""",4.9,"Đã bán 66,9k",57,57.0,11.990.000₫,-24%
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,Xiaomi,4.040.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,https://cdn.tgdd.vn/Products/Images/42/309831/xiaomi-redmi-note-13-black-thumb-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 173,8k",58,58.0,2.490.000₫,-23%
Điện thoại OPPO Find X8 5G 16GB/512GB Hồng,OPPO,22.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-x8-hong,https://cdn.tgdd.vn/Products/Images/42/334168/oppo-find-x8-pink-thumbnew-600x600.jpg,1.5K+,"6.59""",5,Đã bán 26,59,,,
Điện thoại OPPO Find X8 Pro 5G 16GB/512GB,OPPO,29.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-x8-pro,https://cdn.tgdd.vn/Products/Images/42/322129/oppo-find-x8-pro-white-thumb-600x600.jpg,1.5K+,"6.78""",5,Đã bán 174,60,,,
Điện thoại realme 12 8GB/256GB,realme,7.290.000₫,https://www.thegioididong.com/dtdd/realme-12,https://cdn.tgdd.vn/Products/Images/42/319466/realme-12-green-thumb-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 3,4k",61,61.0,5.290.000₫,-8%
Điện thoại vivo Y03 4GB/128GB,vivo,3.290.000₫,https://www.thegioididong.com/dtdd/vivo-y03,https://cdn.tgdd.vn/Products/Images/42/322996/vivo-y03-xanh-thumb-1-600x600.jpg,HD+,"6.56""",4.9,"Đã bán 46,8k",62,,,
Điện thoại realme Note 60 6GB/128GB,realme,3.790.000₫,https://www.thegioididong.com/dtdd/realme-note-60,https://cdn.tgdd.vn/Products/Images/42/329330/realme-note-60-black-thumb-600x600.jpg,HD+,"6.745 """,5,"Đã bán 12,3k",63,,,
Điện thoại vivo V30e 5G 12GB/256GB,vivo,9.790.000₫,https://www.thegioididong.com/dtdd/vivo-v30e-12gb,https://cdn.tgdd.vn/Products/Images/42/325136/vivo-v30e-nau-thumb-1-600x600.jpg,Full HD+,"6.78""",4.9,"Đã bán 3,7k",64,64.0,7.990.000₫,-6%
Điện thoại realme Note 50 3GB/64GB,realme,2.490.000₫,https://www.thegioididong.com/dtdd/realme-note-50-64gb,https://cdn.tgdd.vn/Products/Images/42/321434/realme-note-50-blue-thumb-600x600.jpg,HD+,"6.74""",4.9,"Đã bán 56,7k",65,,,
Điện thoại vivo V30 5G 12GB/512GB,vivo,12.990.000₫,https://www.thegioididong.com/dtdd/vivo-v30,https://cdn.tgdd.vn/Products/Images/42/319214/vivo-v30-5g-xanh-thumb-600x600.jpg,1.5K,"6.78""",4.9,"Đã bán 4,7k",66,,,
Điện thoại realme C61 4GB/128GB,realme,3.590.000₫,https://www.thegioididong.com/dtdd/realme-c61-4gb-128gb,https://cdn.tgdd.vn/Products/Images/42/327975/realme-c61-gold-thumb-600x600.jpg,HD+,"6.745 """,5,Đã bán 105,67,,,
Điện thoại Viettel Sumo 4G T2,Viettel,550.000₫,https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2,https://cdn.tgdd.vn/Products/Images/42/330028/viettel-sumo-4g-t2-black-thumb-600x600.jpg,QVGA,"2.4""",4.9,"Đã bán 48,7k",68,,,
Điện thoại Samsung Galaxy A55 5G 12GB/256GB,Samsung,10.090.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g,https://cdn.tgdd.vn/Products/Images/42/322096/samsung-galaxy-a55-5g-xanh-thumb-1-600x600.jpg,Full HD+,"6.6""",4.9,"Đã bán 59,7k",69,69.0,10.490.000₫,-15%
Điện thoại Benco 4G G3,Benco,380.000₫,https://www.thegioididong.com/dtdd/benco-4g-g3,https://cdn.tgdd.vn/Products/Images/42/330485/benco-4g-g3-xanh-thumb-600x600.jpg,QQVGA,"1.77""",4.9,"Đã bán 33,4k",70,,,
Điện thoại Nokia 105 4G Pro,Nokia,680.000₫,https://www.thegioididong.com/dtdd/nokia-105-4g-pro,https://cdn.tgdd.vn/Products/Images/42/311033/nokia-105-4g-xanh-thumbnail-600x600.jpg,QQVGA,"1.77""",4.9,"Đã bán 259,7k",71,,,
Điện thoại Mobell M239 4G,Mobell,440.000₫,https://www.thegioididong.com/dtdd/mobell-m239,https://cdn.tgdd.vn/Products/Images/42/284122/mobell-m239-xanh-thumb-1-600x600.jpg,QQVGA,"1.77""",4.9,"Đã bán 111,8k",72,,,
Điện thoại Masstel IZI T6 4G,Masstel,500.000₫,https://www.thegioididong.com/dtdd/masstel-izi-t6,https://cdn.tgdd.vn/Products/Images/42/322877/masstel-izi-t6-green-thumb-600x600.jpg,QVGA,"2.4""",4.9,"Đã bán 68,9k",73,,,
Điện thoại Nokia HMD 105 4G,Nokia,650.000₫,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g,https://cdn.tgdd.vn/Products/Images/42/329676/nokia-hmd-105-4g-pink-thumb-600x600.jpg,QQVGA,"2.4""",4.9,"Đã bán 17,8k",74,,,
Điện thoại Samsung Galaxy M35 5G 8GB/256GB,Samsung,7.690.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g,https://cdn.tgdd.vn/Products/Images/42/323563/samsung-galaxy-m35-5g-xanhdam-thumb-600x600.jpg,Full HD+,"6.6""",4.9,"Đã bán 25,8k",75,,,
Điện thoại Masstel IZI 10,Masstel,410.000₫,https://www.thegioididong.com/dtdd/masstel-izi-10,https://cdn.tgdd.vn/Products/Images/42/265311/masstel-izi-10-4g-xanh-thumb-600x600.jpg,QQVGA,"1.77""",4.9,Đã bán 250k,76,,,
Điện thoại Nokia 220 4G,Nokia,990.000₫,https://www.thegioididong.com/dtdd/nokia-220-4g,https://cdn.tgdd.vn/Products/Images/42/207956/nokia-220-4g-cam-thumb-600x600.jpg,QVGA,"2.8""",4.9,"Đã bán 30,9k",77,,,
Điện thoại Masstel Fami 50 4G,Masstel,600.000₫,https://www.thegioididong.com/dtdd/masstel-fami-50,https://cdn.tgdd.vn/Products/Images/42/323546/masstel-fami-50-green-thumb-600x600.jpg,QQVGA,"2""",4.9,Đã bán 36k,78,,,
Điện thoại Nokia 110 4G Pro,Nokia,750.000₫,https://www.thegioididong.com/dtdd/nokia-110-4g-pro,https://cdn.tgdd.vn/Products/Images/42/311034/nokia-110-4g-tim-thumb-600x600.jpg,QQVGA,"1.77""",4.9,Đã bán 51k,79,,,
Điện thoại Mobell F309 4G,Mobell,760.000₫,https://www.thegioididong.com/dtdd/mobell-f309,https://cdn.tgdd.vn/Products/Images/42/304608/mobell-f309-trang-thumb-600x600.jpg,QVGA,"2.31""",4.9,"Đã bán 30,7k",80,,,
Điện thoại HONOR X7c 8GB/256GB,HONOR,4.790.000₫,https://www.thegioididong.com/dtdd/honor-x7c,https://cdn.tgdd.vn/Products/Images/42/331512/honor-x7c-white-thumb-600x600.jpg,HD+,"6.77 """,4.9,"Đã bán 1,8k",81,,,
Điện thoại Mobell M539,Mobell,700.000₫,https://www.thegioididong.com/dtdd/mobell-m539,https://cdn.tgdd.vn/Products/Images/42/288630/mobell-m539-do-thumb-600x600.jpg,QVGA,"2.8""",4.9,"Đã bán 35,6k",82,,,
Điện thoại Mobell M331 4G,Mobell,550.000₫,https://www.thegioididong.com/dtdd/mobell-m331,https://cdn.tgdd.vn/Products/Images/42/314697/mobell-m335-thumb-den-600x600.jpg,QVGA,"2.4""",4.9,Đã bán 46k,83,,,
Điện thoại Masstel Fami 60S 4G,Masstel,700.000₫,https://www.thegioididong.com/dtdd/masstel-fami-60s,https://cdn.tgdd.vn/Products/Images/42/322876/masstel-fami-60s-blue-thumb-600x600.jpg,QVGA,"2""",4.9,"Đã bán 43,2k",84,,,
Điện thoại Samsung Galaxy M15 5G 4GB/128GB,Samsung,3.690.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-m15-5g-4gb,https://cdn.tgdd.vn/Products/Images/42/325073/samsung-galaxy-m15-5g-blue-thumb-1-600x600.jpg,Full HD+,"6.5""",4.9,"Đã bán 6,1k",85,85.0,11.990.000₫,-21%
Điện thoại OPPO Reno12 5G 12GB/512GB,OPPO,10.490.000₫,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-512gb,https://cdn.tgdd.vn/Products/Images/42/327192/oppo-reno12-5g-sliver-thumb-1-600x600.jpg,Full HD+,"6.7""",4.9,Đã bán 42k,86,86.0,4.690.000₫,-25%
Điện thoại vivo Y18 4GB/128GB,vivo,3.990.000₫,https://www.thegioididong.com/dtdd/vivo-y18-4gb-128gb,https://cdn.tgdd.vn/Products/Images/42/327254/vivo-y18-nau-thumb-600x600.jpg,HD+,"6.56""",4.9,"Đã bán 11,9k",87,,,
Điện thoại Mobell F209,Mobell,620.000₫,https://www.thegioididong.com/dtdd/mobell-f209,https://cdn.tgdd.vn/Products/Images/42/299998/mobell-f209-gold-600x600.jpg,QVGA,"2""",4.9,Đã bán 47k,88,,,
Điện thoại OPPO Reno12 5G 12GB/256GB Hồng,OPPO,9.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb-hong,https://cdn.tgdd.vn/Products/Images/42/321892/oppo-reno12-5g-pink-thumb-600x600.jpg,Full HD+,"6.7""",4.9,"Đã bán 5,5k",89,,,
Điện thoại OPPO Reno12 Pro 5G 12GB/512GB,OPPO,13.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno12-pro,https://cdn.tgdd.vn/Products/Images/42/322124/oppo-reno12-pro-5g-sliver-thumb-600x600.jpg,Full HD+,"6.7""",4.9,"Đã bán 2,9k",90,,,
Điện thoại Itel it9310,Itel,650.000₫,https://www.thegioididong.com/dtdd/itel-it9310,https://cdn.tgdd.vn/Products/Images/42/329840/itel-it9310-vang-thumb-600x600.jpg,"3""",No size,4.9,"Đã bán 5,3k",91,,,
Điện thoại Samsung Galaxy M54 5G 8GB/256GB,Samsung,7.190.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-m54?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/275953/samsung-galaxy-m54-xanh-thumb-600x600.jpg,Full HD+,"6.7""",4.9,"Đã bán 37,5k",92,,,
