title,brand,price,link_item,link_img,resolution,size,rate,Lượt bán,index_,discount_index,original price,discount percent
Điện thoại Samsung Galaxy S25 5G 12GB/256GB,Samsung,19.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s25,https://cdn.tgdd.vn/Products/Images/42/333363/samsung-galaxy-s25-mint-thumb-600x600.jpg,Full HD+,"6.2""",No rate,No quantity sale,1,1.0,22.990.000₫,-13%
Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,30.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra,https://cdn.tgdd.vn/Products/Images/42/333347/samsung-galaxy-s25-ultra-titan-sliver-thumb-600x600.jpg,Quad HD+ (2K+),"6.9""",No rate,No quantity sale,2,2.0,33.990.000₫,-8%
Điện thoại iPhone 16 Pro Max 256GB,iPhone (Apple),32.890.000₫,https://www.thegioididong.com/dtdd/iphone-16-pro-max,https://cdn.tgdd.vn/Products/Images/42/329149/iphone-16-pro-max-sa-mac-thumb-600x600.jpg,Super Retina XDR,"6.9""",4.9,"Đã bán 94,5k",3,3.0,34.990.000₫,-6%
Điện thoại iPhone 16 Pro 128GB,iPhone (Apple),27.590.000₫,https://www.thegioididong.com/dtdd/iphone-16-pro,https://cdn.tgdd.vn/Products/Images/42/329143/iphone-16-pro-titan-tu-nhien.png,Super Retina XDR,"6.3""",4.9,"Đã bán 10,4k",4,4.0,28.990.000₫,-4%
Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,Samsung,25.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,https://cdn.tgdd.vn/Products/Images/42/307174/samsung-galaxy-s24-ultra-violet-thumbnew-600x600.jpg,Quad HD+ (2K+),"6.8""",4.9,"Đã bán 24,2k",5,5.0,29.990.000₫,-13%
Điện thoại Samsung Galaxy A16 8GB/128GB,Samsung,5.390.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/331207/samsung-galaxy-a16-green-thumbnew-600x600.jpg,Full HD+,"6.7""",4.9,Đã bán 43k,6,6.0,5.890.000₫,-8%
Điện thoại Xiaomi Redmi Note 14 8GB/128GB,Xiaomi,5.490.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/333147/xiaomi-redmi-note-14-purple-thumbnew-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 24,1k",7,,,
Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,7.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro,https://cdn.tgdd.vn/Products/Images/42/320730/xiaomi-redmi-note-14-pro-black-thumbnew-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 7,5k",8,,,
Điện thoại OPPO Reno13 F 5G 8GB/256GB,OPPO,9.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno13-f-5g,https://cdn.tgdd.vn/Products/Images/42/332936/oppo-reno13-f-blue-thumb-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 23,9k",9,,,
Điện thoại OPPO Reno13 5G 12GB/256GB,OPPO,15.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno13-5g,https://cdn.tgdd.vn/Products/Images/42/332934/oppo-reno13-5g-blue-thumb-600x600.jpg,1.5K,"6.59""",5,"Đã bán 3,3k",10,,,
Điện thoại realme C75 8GB/128GB,realme,5.690.000₫,https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/332234/realme-c75-red-thumb-600x600.jpg,Full HD+,"6.72""",4.9,"Đã bán 15,1k",11,,,
Điện thoại vivo V40 Lite 8GB/256GB,vivo,8.490.000₫,https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329959/vivo-v40-lite-bac-thumb-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 20,3k",12,,,
Điện thoại HONOR X9c Smart 5G 12GB/256GB,HONOR,7.990.000₫,https://www.thegioididong.com/dtdd/honor-x9c-smart,https://cdn.tgdd.vn/Products/Images/42/333480/honor-x9c-smart-xanh-thumb-600x600.jpg,Full HD+,"6.8""",5,No quantity sale,13,,,
Điện thoại Tecno Spark GO 1 3GB/64GB,Tecno,1.890.000₫,https://www.thegioididong.com/dtdd/tecno-spark-go-1,https://cdn.tgdd.vn/Products/Images/42/329865/tecno-spark-go-1-white-thumb-600x600.jpg,HD+,"6.67""",4.9,"Đã bán 7,6k",14,,,
Điện thoại TCL 406s 4GB/64GB,TCL,1.890.000₫,https://www.thegioididong.com/dtdd/tcl-406s,https://cdn.tgdd.vn/Products/Images/42/324994/tcl-406s-blue-thumb-600x600.jpg,HD+,"6.6""",4.9,Đã bán 6k,15,,,
Điện thoại iPhone 16 Plus 128GB,iPhone (Apple),24.790.000₫,https://www.thegioididong.com/dtdd/iphone-16-plus,https://cdn.tgdd.vn/Products/Images/42/329138/iphone-16-plus-hong-thumb-600x600.jpg,Super Retina XDR,"6.7""",4.9,"Đã bán 4,4k",16,16.0,25.990.000₫,-4%
Điện thoại iPhone 16 128GB,iPhone (Apple),21.490.000₫,https://www.thegioididong.com/dtdd/iphone-16,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-blue-600x600.png,Super Retina XDR,"6.1""",4.9,"Đã bán 6,5k",17,17.0,22.990.000₫,-6%
Điện thoại Samsung Galaxy A16 5G 8GB/256GB,Samsung,6.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g,https://cdn.tgdd.vn/Products/Images/42/331204/samsung-galaxy-a16-5g-gold-thumbnew-600x600.jpg,Full HD+,"6.7""",4.9,"Đã bán 34,6k",18,,,
Điện thoại Samsung Galaxy A06 4GB/64GB,Samsung,2.890.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/328752/samsung-galaxy-a06-blue-thumb-1-600x600.jpg,HD+,"6.7""",4.9,"Đã bán 82,4k",19,19.0,3.190.000₫,-9%
Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,Xiaomi,9.490.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g,https://cdn.tgdd.vn/Products/Images/42/332938/xiaomi-redmi-note-14-pro-5g-xanh-thumbnew-600x600.jpg,1.5K,"6.67""",4.9,"Đã bán 4,1k",20,,,
Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,Xiaomi,10.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus,https://cdn.tgdd.vn/Products/Images/42/320731/xiaomi-redmi-note-14-pro-plus-5g-purple-thumbnew-600x600.jpg,1.5K,"6.67""",4.9,"Đã bán 1,4k",21,,,
Điện thoại OPPO Reno13 Pro 5G 12GB/512GB,OPPO,18.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno13-pro-5g,https://cdn.tgdd.vn/Products/Images/42/332937/oppo-reno13-pro-5g-purple-thumb-600x600.jpg,1.5K,"6.83""",5,"Đã bán 1,2k",22,,,
Điện thoại OPPO Reno13 F 8GB/256GB,OPPO,8.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno13-f,https://cdn.tgdd.vn/Products/Images/42/332935/oppo-reno13-f-purple-thumb-600x600.jpg,Full HD+,"6.67""",5,"Đã bán 2,4k",23,,,
Điện thoại realme Note 60x 4GB/64GB,realme,2.990.000₫,https://www.thegioididong.com/dtdd/realme-note-60x-4gb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/333281/realme-note-60x-4gb-191224-040048-245-600x600.jpg,HD+,"6.74""",5,"Đã bán 2,9k",24,,,
Điện thoại vivo Y28 8GB/128GB,vivo,5.790.000₫,https://www.thegioididong.com/dtdd/vivo-y28,https://cdn.tgdd.vn/Products/Images/42/326016/vivo-y28-vang-thumb-600x600.jpg,HD+,"6.68 """,4.9,"Đã bán 44,6k",25,,,
Điện thoại HONOR X5b Plus 4GB/128GB,HONOR,2.790.000₫,https://www.thegioididong.com/dtdd/honor-x5b-plus,https://cdn.tgdd.vn/Products/Images/42/333770/honor-x5b-plus-blue-thumb-600x600.jpg,HD+,"6.56""",5,No quantity sale,26,26.0,2.990.000₫,-6%
Điện thoại Tecno Spark 20C 8GB/128GB,Tecno,2.490.000₫,https://www.thegioididong.com/dtdd/tecno-spark-20c,https://cdn.tgdd.vn/Products/Images/42/325155/tecno-spark-20c-thumb-600x600.jpg,HD+,"6.56""",4.9,"Đã bán 2,6k",27,,,
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Samsung,36.490.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold6,https://cdn.tgdd.vn/Products/Images/42/320721/samsung-galaxy-z-fold6-xam-thumbn-600x600.jpg,QXGA+,"Chính 7.6"" & Phụ 6.3""",4.9,Đã bán 2k,28,28.0,43.990.000₫,-17%
Điện thoại iPhone 15 Pro Max 256GB,iPhone (Apple),29.690.000₫,https://www.thegioididong.com/dtdd/iphone-15-pro-max,https://cdn.tgdd.vn/Products/Images/42/305658/iphone-15-pro-max-black-thumbnew-600x600.jpg,Super Retina XDR,"6.7""",4.9,"Đã bán 240,2k",29,29.0,30.990.000₫,-4%
