name,brand,price (đ),link_item,link_img,resolution,size,rate,quantity_sale,original price (đ),discount percent
Điện thoại OPPO Reno12 F 5G 12GB/256GB,OPPO,7990000,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/327190/oppo-reno12-f-5g-orange-thumb-600x600.jpg,Full HD+,6.67,4.9,67400.0,14890000,20
Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,OPPO,17490000,https://www.thegioididong.com/dtdd/oppo-find-n3-flip-hong,https://cdn.tgdd.vn/Products/Images/42/317981/oppo-find-n3-flip-pink-thumb-600x600.jpeg,Full HD+,6.8,4.9,1700.0,9990000,23
Điện thoại Itel it9211,Itel,490000,https://www.thegioididong.com/dtdd/itel-it9211,https://cdn.tgdd.vn/Products/Images/42/329839/itel-it9211-xanh-thumb-600x600.jpg,No resolution,,4.9,7000.0,0,0
Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB,Samsung,21350000,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip6,https://cdn.tgdd.vn/Products/Images/42/320722/samsung-galaxy-z-flip6-xanh-thumbn-600x600.jpg,Full HD+,6.7,4.9,2500.0,22990000,26
Điện thoại vivo Y100 8GB/256GB,vivo,7690000,https://www.thegioididong.com/dtdd/vivo-y100,https://cdn.tgdd.vn/Products/Images/42/302197/vivo-y100-xanh-thumb-1-600x600.jpg,Full HD+,6.67,4.9,24700.0,0,0
Điện thoại OPPO A38 6GB/128GB,OPPO,3990000,https://www.thegioididong.com/dtdd/oppo-a38-6gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/320836/oppo-a38-black-thumb-600x600.jpg,HD+,6.56,4.9,127600.0,0,0
Điện thoại HONOR 200 5G 12GB/256GB,HONOR,11990000,https://www.thegioididong.com/dtdd/honor-200-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329133/honor-200-white-thumb-600x600.jpg,1.5K,6.7,5.0,253.0,28990000,7
Điện thoại realme C60 4GB/64GB,realme,2790000,https://www.thegioididong.com/dtdd/realme-c60,https://cdn.tgdd.vn/Products/Images/42/322919/realme-c60-blue-thumb-600x600.jpg,HD+,6.74,4.9,500.0,0,0
Điện thoại Itel it2600,Itel,490000,https://www.thegioididong.com/dtdd/itel-it2600,https://cdn.tgdd.vn/Products/Images/42/328399/itel-it2600-black-thumb-1-600x600.jpg,QVGA,2.0,4.9,9200.0,0,0
Điện thoại HONOR Magic V3 5G 12GB/512GB,HONOR,39990000,https://www.thegioididong.com/dtdd/honor-magic-v3,https://cdn.tgdd.vn/Products/Images/42/332255/honor-magic-v3-green-thumb-600x600.jpg,Quad HD (2K),7.92,5.0,37.0,0,0
Điện thoại iPhone 15 Pro 512GB,iPhone (Apple),32490000,https://www.thegioididong.com/dtdd/iphone-15-pro-512gb,https://cdn.tgdd.vn/Products/Images/42/303832/iphone-15-pro-white-thumbnew-600x600.jpg,Super Retina XDR,6.1,4.9,729.0,0,0
Điện thoại OPPO A58 8GB/128GB,OPPO,4490000,https://www.thegioididong.com/dtdd/oppo-a58-4g?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/311354/oppo-a58-4g-green-thumb-600x600.jpg,Full HD+,6.72,4.9,123400.0,0,0
Điện thoại Mobell Rock 4,Mobell,790000,https://www.thegioididong.com/dtdd/mobell-rock-4,https://cdn.tgdd.vn/Products/Images/42/288631/mobell-rock-4-xanh-la-thumb-600x600.jpg,QVGA,2.4,4.9,11300.0,0,0
Điện thoại OPPO Find N3 5G 16GB/512GB,OPPO,36990000,https://www.thegioididong.com/dtdd/oppo-find-n3?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/302953/oppo-find-n3-vang-dong-thumb-600x600.jpg,Quad HD+ (2K+),7.82,5.0,372.0,0,0
Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,Samsung,23990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus,https://cdn.tgdd.vn/Products/Images/42/333359/samsung-galaxy-s25-plus-blue-thumb-600x600.jpg,Quad HD+ (2K+),6.7,0.0,0.0,12990000,11
