name,brand,price (đ),link_item,link_img,ram (GB),rom (GB),rom_type,rate,quantity_sale,original price (đ),discount percent
Laptop MSI Gaming Katana A15 AI B8VG R9 8945HS/16GB/1TB/8GB RTX4070/144Hz/Balo/Lót chuột/Chuột/Win11 (466VN),MSI,38690000,https://www.thegioididong.com/laptop/msi-katana-a15-ai-b8vg-r9-466vn,https://cdn.tgdd.vn/Products/Images/44/327402/msi-katana-a15-ai-b8vg-r9-466vn-thumb-600x600.jpg,16,1024,SSD ,0.0,1.0,41990000,7
Laptop MacBook Pro 14 inch M4 16GB/512GB,MacBook,39690000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-16gb-512gb,https://cdn.tgdd.vn/Products/Images/44/331564/macbook-pro-14-inch-m4-pro-topzone-bac-thumb-600x600.png,16,512,SSD ,5.0,199.0,39990000,0
Laptop MacBook Pro 14 inch M4 Pro 24GB/1TB,MacBook,54990000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-pro-24gb-1tb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331569/macbook-pro-14-inch-m4-pro-24gb-1tb-011124-120615-014-600x600.jpg,24,1024,SSD ,5.0,42.0,0,0
Laptop MacBook Pro 14 inch Nano M4 16GB/512GB,MacBook,43290000,https://www.thegioididong.com/laptop/macbook-pro-14-nano-m4-16-512?utm_flashsale=1,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-tgdd-den-thumb-638682286113899532-600x600.jpg,16,512,SSD ,5.0,76.0,43790000,0
Laptop MacBook Pro 14 inch M4 Pro 24GB/512GB,MacBook,49790000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-pro-24gb-512gb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331568/macbook-pro-14-inch-m4-pro-24gb-512gb-011124-120607-479-600x600.jpg,24,512,SSD ,5.0,129.0,49990000,0
Laptop MacBook Pro 14 inch M4 Pro 48GB/512GB,MacBook,59990000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-pro-48gb-512gb,https://cdn.tgdd.vn/Products/Images/44/331570/macbook-pro-14-inch-m4-pro-bac-thumb-600x600.jpg,48,512,SSD ,5.0,20.0,0,0
Laptop Apple MacBook Air 15 inch M3 16GB-256GB,MacBook,32090000,https://www.thegioididong.com/laptop/macbook-air-15-inch-m3-2024-16gb-256gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/322636/macbook-air-15-inch-m3-2024-16gb-256gb-060324-095629-600x600.jpg,16,256,SSD ,5.0,419.0,0,0
Laptop MacBook Air 13 inch M3 24GB/512GB,MacBook,36490000,https://www.thegioididong.com/laptop/macbook-air-13-m3-24gb-512gb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331987/macbook-air-13-m3-24gb-512gb-141124-101000-783-600x600.jpg,24,512,SSD ,5.0,27.0,37990000,0
Laptop MacBook Air 13 inch M2 24GB/512GB,MacBook,32990000,https://www.thegioididong.com/laptop/macbook-air-13-m2-24gb-512gb?utm_flashsale=1,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331986/macbook-air-13-m2-24gb-512gb-141124-095618-109-600x600.jpg,24,512,SSD ,5.0,9.0,34990000,5
Laptop Acer Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/165Hz/Win11 (NH.QPGSV.004),Acer,19690000,https://www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333430/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004-thumb-638717682684228496-600x600.jpg,16,512,SSD ,0.0,0.0,20490000,0
